"Opportunity Name","Randomized Order","Research Initiative","Bridge Name","GPS (Latitude)","GPS (Longitude)","Level 1 Government","Level 3 Government","Level 4 Government","Stage","Sub-Stage","Individuals Directly Served","Bridge Type","Span (m)","Ground Breaking Date","Close Date","CaseSafeID","Project Code","Close Month","B2P Fiscal Year","Level 2 Government"
"Rwanda - Rudehero - 1014134","17","Rwanda Full Scale Research - Randomized and Baselined - Long Term Control","Rudehero","-2.3784500000","29.1393000000","Western Province","Rangiro-Kagano","Jurwe-Gako","Rejected","Technical","9782","","","","12/31/2018","006f100000d1hH3AAI","1014134","12/1/2018","2019","Nyamasheke"
"Rwanda - Ruhabwa - 1014009","11","Rwanda Full Scale Research - Randomized and Baselined - Long Term Control","Ruhabwa","-2.5156450000","29.0440020000","Western Province","Karengera","Mwezi","Rejected","Technical","8483","","","","11/5/2018","006f100000d1f2JAAQ","1014009","11/1/2018","2019","Nyamasheke"
"Rwanda - Bibumba - 1013275","5","Rwanda Full Scale Research - Randomized and Baselined - Intervention","Bibumba","-2.2794000000","29.8712000000","Southern Province","Kigoma - Ntongwe","Murinja - Kareba","Complete","In Service","3152","Suspension Bridge","140.0","3/23/2023","6/30/2023","006f100000d7678AAA","1013275","6/1/2023","2023","Nyanza"
"Rwanda - Cyarera - 1007528","1","Rwanda Full Scale Research - Randomized and Baselined - Intervention","Cyarera","-2.2924800000","29.6160800000","Southern Province","Cyabakamyi-Musange","Karama - Gasagara","Complete","In Service","1967","Suspension Bridge","150.0","7/11/2022","10/14/2022","006f100000a86G4AAI","1007528","10/1/2022","2023","Nyanza"
"Rwanda - Gasharu - 1012831","6","Rwanda Full Scale Research - Randomized and Baselined - Intervention","Gasharu","-2.3142200000","29.6933600000","Southern Province","Rwabicuma - Cyabakamyi","Cyerezo - Nyabinyenga","Complete","In Service","3531","Suspended Bridge","45.0","3/20/2023","5/21/2023","006f100000d6mYGAAY","1012831","5/1/2023","2023","Nyanza"
"Rwanda - Kamabuye - 1013011","3","Rwanda Full Scale Research - Randomized and Baselined - Intervention","Kamabuye","-2.3002400000","29.6845000000","Southern Province","Cyabakamyi - Mukingo","Nyabinyenga - Cyerezo","Complete","In Service","4710","Suspended Bridge","52.0","2/3/2023","6/13/2023","006f100000d6wRfAAI","1013011","6/1/2023","2023","Nyanza"
"Rwanda - Kamushi - 1012830","4","Rwanda Full Scale Research - Randomized and Baselined - Intervention","Kamushi","-2.3354200000","29.6725100000","Southern Province","Rwabicuma - Cyabakamyi","Nyarusange - Nyabinyenga","Complete","In Service","3708","Suspended Bridge","59.0","3/5/2023","6/2/2023","006f100000d6mY6AAI","1012830","6/1/2023","2023","Nyanza"
"Rwanda - Mamashenge - 1013273","7","Rwanda Full Scale Research - Randomized and Baselined - Intervention","Mamashenge","-2.3057700000","29.7954800000","Southern Province","Kigoma","Butara - Butansinda","Complete","In Service","2147","Suspended Bridge","58.0","10/30/2023","12/22/2023","006f100000d766yAAA","1013273","12/1/2023","2024","Nyanza"
"Rwanda - Mweya - 1007522","8","Rwanda Full Scale Research - Randomized and Baselined - Long Term Control","Mweya","-2.3299900000","29.6421600000","Southern Province","Cyabakamyi-Nyagisozi","Mweya","Rejected","Technical","2992","","","","12/30/2024","006f100000a86FyAAI","1007522","12/1/2024","2024","Nyanza"
"Rwanda - Karukina - 1014268","5","Rwanda Full Scale Research - Randomized and Baselined - Long Term Control","Karukina","-2.0180670000","30.0080650000","Kigali","Mageragere","Kankuba","Rejected","Technical","","","","","12/31/2018","006f100000eekYPAAY","1014268","12/1/2018","2019","Nyarugenge"
"Rwanda - Mpanga - 1014265","1","Rwanda Full Scale Research - Randomized and Baselined - Long Term Control","Mpanga","-2.0638000000","30.0279000000","Kigali","Mageragere","Runzenze","Rejected","Technical","12213","","","","12/31/2018","006f100000eekXqAAI","1014265","12/1/2018","2019","Nyarugenge"
"Rwanda - Nyabirondo - 1014264","2","Rwanda Full Scale Research - Randomized and Baselined - Long Term Control","Nyabirondo","2.0541660000","30.0475000000","Kigali","Mageragere","Nyarurenzi","Rejected","Technical","5098","","","","12/31/2018","006f100000eekXlAAI","1014264","12/1/2018","2019","Nyarugenge"
"Rwanda - Nyarubuye - 1014267","4","Rwanda Full Scale Research - Randomized and Baselined - Long Term Control","Nyarubuye","-2.0492500000","29.9857300000","Kigali","Mageragere","Kivumu","Rejected","Technical","3484","","","","12/31/2018","006f100000eekYFAAY","1014267","12/1/2018","2019","Nyarugenge"
"Rwanda - Nyarusange - 1014269","3","Rwanda Full Scale Research - Randomized and Baselined - Intervention","Nyarusange","-1.8948400000","29.9969300000","Kigali","Kanyinya","Taba","Complete","In Service","4378","Suspended Bridge","132.0","11/6/2020","3/4/2021","006f100000eekYUAAY","1014269","3/1/2021","2021","Nyarugenge"
"Rwanda - Bukoro - 1014129","10","Rwanda Full Scale Research - Randomized and Baselined - Intervention","Bukoro","-2.6126166700","29.5086866700","Southern Province","Ruramba_Kivu","Gabiro_Kivu","Complete","In Service","4359","Suspended Bridge","75.0","8/15/2024","10/10/2024","006f100000d1hGAAAY","1014129","10/1/2024","2024","Nyaruguru"
"Rwanda - Gasugi - 1007570","17","Rwanda Full Scale Research - Randomized and Baselined - Intervention","Gasugi","-2.6974300000","29.4333900000","Southern Province","Nyabimata","Ruhinga","Identified","","5413","","","1/27/2025","5/1/2025","006f100000a86GkAAI","1007570","5/1/2025","2025","Nyaruguru"
"Rwanda - Gihemvu - 1014150","6","Rwanda Full Scale Research - Randomized and Baselined - Intervention","Gihemvu","-2.6999000000","29.4919500000","Southern Province","Nyabimata_Muganza","Gihemvu-Muganza","Identified","","","Suspended Bridge","94.0","1/9/2024","3/29/2025","006f100000d1hNQAAY","1014150","3/1/2025","2025","Nyaruguru"
"Rwanda - Munanira - 1007556","16","Rwanda Full Scale Research - Randomized and Baselined - Intervention","Munanira","-2.7356120000","29.5668530000","Southern Province","Munini","","Identified","","1137","Suspended Bridge","115.0","1/21/2023","4/18/2023","006f100000a86GWAAY","1007556","4/1/2023","2023","Nyaruguru"
"Rwanda - Ruyenzi - 1007582","15","Rwanda Full Scale Research - Randomized and Baselined - Intervention","Ruyenzi","-2.7557220000","29.4549170000","Southern Province","Ruheru-Nyabimata","Ruyenzi-Kabere(Ruyenzi-Uwigisura)","Identified","","4903","Suspended Bridge","88.0","12/5/2025","3/13/2025","006f100000a86GwAAI","1007582","3/1/2025","2025","Nyaruguru"
