ADM4_EN,ADM4_PCODE,ADM3_EN,ADM3_PCODE,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE
Bwikara,UG41110102,Buyaga,UG411101,Kagadi,UG4111,Western,UG4
Bwikhonge,UG20340112,Bulambuli,UG203401,Bulambuli,UG2034,Eastern,UG2
Bwizi,UG41130104,Kibale,UG411301,Kamwenge,UG4113,Western,UG4
Bwongyera,UG41290101,Kajara,UG412901,Ntungamo,UG4129,Western,UG4
Byakabanda,UG10240101,Kooki,UG102401,Rakai,UG1024,Central,UG1
Byerima,UG10120114,Kiboga,UG101201,Kyankwanzi,UG1012,Central,UG1
Central,UG41210201,Kisoro Municipality,UG412102,Kisoro,UG4121,Western,UG4
Central Division,UG10010201,KCCA,UG100102,Buikwe,UG1001,Central,UG1
Central Division,UG10080101,KCCA,UG100801,Kampala,UG1008,Central,UG1
Central Division,UG10180201,KCCA,UG101802,Mityana,UG1018,Central,UG1
Central Division,UG10210101,KCCA,UG102101,Mukono,UG1021,Central,UG1
Central Division,UG20390101,Iganga Municipality,UG203901,Iganga,UG2039,Eastern,UG2
Central Division,UG20400201,Jinja Municipality,UG204002,Jinja,UG2040,Eastern,UG2
Central Division,UG20450101,Kapchorwa Municipality,UG204501,Kapchorwa,UG2045,Eastern,UG2
Central Division,UG30770201,Kitgum Municipality,UG307702,Kitgum,UG3077,Northern,UG3
Central Division,UG30800201,Kotido Municipality,UG308002,Kotido,UG3080,Northern,UG3
Central Division,UG30830202,Lira Municipality,UG308302,Lira,UG3083,Northern,UG3
Central Division,UG30910102,Nebbi Municipality,UG309101,Nebbi,UG3091,Northern,UG3
Central Division,UG41090101,Kabale Municipality,UG410901,Kabale,UG4109,Western,UG4
Central Division,UG41150302,Kasese Municipality,UG411503,Kasese,UG4115,Western,UG4
Central Division,UG41250301,Masindi Municipality,UG412503,Masindi,UG4125,Western,UG4
Central Division,UG41290201,Ntungamo Municipality,UG412902,Ntungamo,UG4129,Western,UG4
Central Divison,UG41050101,Bushenyi  Municipality,UG410501,Bushenyi,UG4105,Western,UG4
Chahi,UG41210103,Bufumbira,UG412101,Kisoro,UG4121,Western,UG4
Chawente,UG30810104,Kwania,UG308101,Kwania,UG3081,Northern,UG3
Chegere,UG30710203,Maruzi,UG307102,Apac,UG3071,Northern,UG3
Chelekura,UG20590204,Pallisa,UG205902,Pallisa,UG2059,Eastern,UG2
Chema,UG20450202,Tingey,UG204502,Kapchorwa,UG2045,Eastern,UG2
Chepkwasta,UG20330103,Kongasis,UG203301,Bukwo,UG2033,Eastern,UG2
Chepterech,UG20450203,Tingey,UG204502,Kapchorwa,UG2045,Eastern,UG2
Chesower,UG20330104,Kongasis,UG203301,Bukwo,UG2033,Eastern,UG2
Ciforo,UG30650104,East Moyo,UG306501,Adjumani,UG3065,Northern,UG3
Dabani,UG20350207,Samia-Bugwe,UG203502,Busia,UG2035,Eastern,UG2
Dadamu,UG30720204,Ayivu,UG307202,Arua,UG3072,Northern,UG3
Ddwaniro,UG10110103,Kiboga,UG101101,Kiboga,UG1011,Central,UG1
Ddwaniro,UG10240102,Kooki,UG102401,Rakai,UG1024,Central,UG1
Difule,UG30870101,Moyo,UG308701,Moyo,UG3087,Northern,UG3
Division A,UG10260201,Entebbe Municipality,UG102602,Wakiso,UG1026,Central,UG1
Division B,UG10260202,Entebbe Municipality,UG102602,Wakiso,UG1026,Central,UG1
Dokolo,UG30730106,Dokolo,UG307301,Dokolo,UG3073,Northern,UG3
Dokolo Tc,UG30730107,Dokolo,UG307301,Dokolo,UG3073,Northern,UG3
Drajini,UG30990103,Aringa,UG309901,Yumbe,UG3099,Northern,UG3
Dranya,UG30780102,Koboko,UG307801,Koboko,UG3078,Northern,UG3
Dzaipi,UG30650105,East Moyo,UG306501,Adjumani,UG3065,Northern,UG3
Eastern Division,UG10200301,Mubende Municipality,UG102003,Mubende,UG1020,Central,UG1
Eastern Division,UG20300101,Bugiri Municipality,UG203001,Bugiri,UG2030,Eastern,UG2
Eastern Division,UG20350101,Busia Municipality,UG203501,Busia,UG2035,Eastern,UG2
Eastern Division,UG20450102,Kapchorwa Municipality,UG204501,Kapchorwa,UG2045,Eastern,UG2
Eastern Division,UG20620201,Soroti Municipality,UG206202,Soroti,UG2062,Eastern,UG2
Eastern Division,UG20630201,Tororo Municipality,UG206302,Tororo,UG2063,Eastern,UG2
Eastern Division,UG41100201,Fort Portal Municipality,UG411002,Kabarole,UG4110,Western,UG4
Eastern Division,UG41290202,Ntungamo Municipality,UG412902,Ntungamo,UG4129,Western,UG4
Eastern Divison,UG41330301,Rukungiri Municipality,UG413303,Rukungiri,UG4133,Western,UG4
Endiinzi,UG41080101,Bukanga,UG410801,Isingiro,UG4108,Western,UG4
Endiinzi Town Council,UG41080102,Bukanga,UG410801,Isingiro,UG4108,Western,UG4
Engaju,UG41010104,Buhweju,UG410101,Buhweju,UG4101,Western,UG4
Engari,UG41160103,Kazo,UG411601,Kazo,UG4116,Western,UG4
Erussi,UG30910203,Padyere,UG309102,Nebbi,UG3091,Northern,UG3
Etam,UG30680108,Kioga,UG306801,Amolatar,UG3068,Northern,UG3
Ewanga,UG30840102,Madi Okollo,UG308401,Madi Okollo,UG3084,Northern,UG3
Gadumire,UG20430105,Bulamogi,UG204301,Kaliro,UG2043,Eastern,UG2
Galiraya,UG10100102,Bbaale,UG101001,Kayunga,UG1010,Central,UG1
Gamogo,UG20450204,Tingey,UG204502,Kapchorwa,UG2045,Eastern,UG2
Gayaza,UG10120115,Kiboga,UG101201,Kyankwanzi,UG1012,Central,UG1
Gimara,UG30930102,Obongi,UG309301,Obongi,UG3093,Northern,UG3
