ADM4_EN,ADM4_PCODE,ADM3_EN,ADM3_PCODE,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE
Kwosir,UG20500111,Kween,UG205001,Kween,UG2050,Eastern,UG2
Kyabakara,UG41310107,Bunyaruguru,UG413101,Rubirizi,UG4131,Western,UG4
Kyabarungira,UG41150209,Busongora,UG411502,Kasese,UG4115,Western,UG4
Kyabigambire,UG41060106,Bugahya,UG410601,Hoima,UG4106,Western,UG4
Kyabugimbi,UG41050205,Igara,UG410502,Bushenyi,UG4105,Western,UG4
Kyakabadiima,UG41110107,Buyaga,UG411101,Kagadi,UG4111,Western,UG4
Kyalulangira,UG10240108,Kooki,UG102401,Rakai,UG1024,Central,UG1
Kyampisi,UG10210202,Mukono,UG102102,Mukono,UG1021,Central,UG1
Kyamuhunga,UG41050206,Igara,UG410502,Bushenyi,UG4105,Western,UG4
Kyamuhunga Town Council,UG41050207,Igara,UG410502,Bushenyi,UG4105,Western,UG4
Kyamukube Town Council,UG41040109,Bunyangabu,UG410401,Bunyangabu,UG4104,Western,UG4
Kyamulibwa,UG10070104,Kalungu,UG100701,Kalungu,UG1007,Central,UG1
Kyamulibwa Town Council,UG10070105,Kalungu,UG100701,Kalungu,UG1007,Central,UG1
Kyamuswa,UG10060203,Kyamuswa,UG100602,Kalangala,UG1006,Central,UG1
Kyamutunzi Town Council,UG41240112,Mwenge,UG412401,Kyenjojo,UG4124,Western,UG4
Kyanaisoke,UG41110108,Buyaga,UG411101,Kagadi,UG4111,Western,UG4
Kyanamira,UG41090207,Ndorwa,UG410902,Kabale,UG4109,Western,UG4
Kyanamukaaka,UG10170104,Bukoto,UG101701,Masaka,UG1017,Central,UG1
Kyangwali,UG41180107,Buhaguzi,UG411801,Kikuube,UG4118,Western,UG4
Kyangyenyi,UG41350107,Sheema,UG413501,Sheema,UG4135,Western,UG4
Kyankwanzi,UG10120116,Kiboga,UG101201,Kyankwanzi,UG1012,Central,UG1
Kyankwanzi Town Council,UG10120117,Kiboga,UG101201,Kyankwanzi,UG1012,Central,UG1
Kyarumba,UG41150109,Bukonjo,UG411501,Kasese,UG4115,Western,UG4
Kyarusozi,UG41240113,Mwenge,UG412401,Kyenjojo,UG4124,Western,UG4
Kyarusozi  Town Council,UG41240114,Mwenge,UG412401,Kyenjojo,UG4124,Western,UG4
Kyaterekera,UG41110109,Buyaga,UG411101,Kagadi,UG4111,Western,UG4
Kyazanga,UG10150103,Bukoto,UG101501,Lwengo,UG1015,Central,UG1
Kyazanga Town Council,UG10150104,Bukoto,UG101501,Lwengo,UG1015,Central,UG1
Kyebando,UG41170107,Buyanja,UG411701,Kibaale,UG4117,Western,UG4
Kyebe,UG10130108,Kyotera,UG101301,Kyotera,UG1013,Central,UG1
Kyegegwa Town Council,UG41230106,Kyaka,UG412301,Kyegegwa,UG4123,Western,UG4
Kyegonza,UG10050103,Gomba,UG100501,Gomba,UG1005,Central,UG1
Kyeizooba,UG41050208,Igara,UG410502,Bushenyi,UG4105,Western,UG4
Kyembogo,UG41240115,Mwenge,UG412401,Kyenjojo,UG4124,Western,UG4
Kyengera Town Council,UG10260107,Busiro,UG102601,Wakiso,UG1026,Central,UG1
Kyenjojo Town Council,UG41240116,Mwenge,UG412401,Kyenjojo,UG4124,Western,UG4
Kyenzige,UG41110110,Buyaga,UG411101,Kagadi,UG4111,Western,UG4
Kyere,UG20600203,Serere,UG206002,Serere,UG2060,Eastern,UG2
Kyesiiga,UG10170105,Bukoto,UG101701,Masaka,UG1017,Central,UG1
Kyondo,UG41150110,Bukonjo,UG411501,Kasese,UG4115,Western,UG4
Kyotera Town Council,UG10130109,Kyotera,UG101301,Kyotera,UG1013,Central,UG1
Labongo Akwang,UG30770102,Chua,UG307701,Kitgum,UG3077,Northern,UG3
Labongo Amida,UG30770103,Chua,UG307701,Kitgum,UG3077,Northern,UG3
Labongo Layamo,UG30770104,Chua,UG307701,Kitgum,UG3077,Northern,UG3
Labori,UG20600106,Kasilo,UG206001,Serere,UG2060,Eastern,UG2
Lagoro,UG30770105,Chua,UG307701,Kitgum,UG3077,Northern,UG3
Laguti,UG30970105,Aruu,UG309701,Pader,UG3097,Northern,UG3
Lake Katwe,UG41150210,Busongora,UG411502,Kasese,UG4115,Western,UG4
Lakwana,UG30940103,Omoro,UG309401,Omoro,UG3094,Northern,UG3
Lalogi,UG30940104,Omoro,UG309401,Omoro,UG3094,Northern,UG3
Lamiyo,UG30660106,Agago,UG306601,Agago,UG3066,Northern,UG3
Lamogi,UG30700104,Kilak,UG307001,Amuru,UG3070,Northern,UG3
Lamwo Town Council,UG30820102,Lamwo,UG308201,Lamwo,UG3082,Northern,UG3
Lapono,UG30660107,Agago,UG306601,Agago,UG3066,Northern,UG3
Lapul,UG30970106,Aruu,UG309701,Pader,UG3097,Northern,UG3
Laroo Division,UG30740202,Gulu Municipality,UG307402,Gulu,UG3074,Northern,UG3
Laropi,UG30870102,Moyo,UG308701,Moyo,UG3087,Northern,UG3
Latanya,UG30970107,Aruu,UG309701,Pader,UG3097,Northern,UG3
Layibi Division,UG30740203,Gulu Municipality,UG307402,Gulu,UG3074,Northern,UG3
Lefori,UG30870103,Moyo,UG308701,Moyo,UG3087,Northern,UG3
Lii,UG30920106,Nwoya,UG309201,Nwoya,UG3092,Northern,UG3
Lira,UG30830107,Erute,UG308301,Lira,UG3083,Northern,UG3
Lira Palwo,UG30660108,Agago,UG306601,Agago,UG3066,Northern,UG3
Lobalangit,UG30760117,Dodoth,UG307601,Karenga,UG3076,Northern,UG3
Lobule,UG30780104,Koboko,UG307801,Koboko,UG3078,Northern,UG3
Lodiko,UG30750109,Dodoth,UG307501,Kaabong,UG3075,Northern,UG3
Lodonga,UG30990109,Aringa,UG309901,Yumbe,UG3099,Northern,UG3
Logiri,UG30720403,Vurra,UG307204,Arua,UG3072,Northern,UG3
Lokole,UG30660109,Agago,UG306601,Agago,UG3066,Northern,UG3
Lokopo,UG30900102,Bokora,UG309001,Napak,UG3090,Northern,UG3
Lokori,UG30760118,Dodoth,UG307601,Karenga,UG3076,Northern,UG3
Lokung,UG30820103,Lamwo,UG308201,Lamwo,UG3082,Northern,UG3
Lolachat,UG30880101,Pian,UG308801,Nabilatuk,UG3088,Northern,UG3
Lolelia,UG30750110,Dodoth,UG307501,Kaabong,UG3075,Northern,UG3
Lolwe,UG20550106,Bukooli,UG205501,Namayingo,UG2055,Eastern,UG2
Lopeei,UG30900103,Bokora,UG309001,Napak,UG3090,Northern,UG3
Loregae,UG30890102,Chekwi,UG308901,Nakapiripirit,UG3089,Northern,UG3
Lorengecora,UG30900104,Bokora,UG309001,Napak,UG3090,Northern,UG3
Lorengedwat,UG30880102,Pian,UG308801,Nabilatuk,UG3088,Northern,UG3
Loro,UG30960107,Oyam,UG309601,Oyam,UG3096,Northern,UG3
Loroo,UG30690104,Pokot,UG306901,Amudat,UG3069,Northern,UG3
Lotim,UG30750111,Dodoth,UG307501,Kaabong,UG3075,Northern,UG3
Lotome,UG30900105,Bokora,UG309001,Napak,UG3090,Northern,UG3
Lotukei,UG30640105,Labwor,UG306401,Abim,UG3064,Northern,UG3
Loyoro,UG30750112,Dodoth,UG307501,Kaabong,UG3075,Northern,UG3
Lubya,UG10040106,Buvuma Island,UG100401,Buvuma,UG1004,Central,UG1
Ludara,UG30780105,Koboko,UG307801,Koboko,UG3078,Northern,UG3
Lugusulu,UG10250201,Mawogola,UG102502,Ssembabule,UG1025,Central,UG1
Lukaya Town Council,UG10070106,Kalungu,UG100701,Kalungu,UG1007,Central,UG1
Lukhonge,UG20540115,Bungokho,UG205401,Mbale,UG2054,Eastern,UG2
Lumino,UG20350208,Samia-Bugwe,UG203502,Busia,UG2035,Eastern,UG2
Lungulu,UG30920107,Nwoya,UG309201,Nwoya,UG3092,Northern,UG3
Lunyo,UG20350209,Samia-Bugwe,UG203502,Busia,UG2035,Eastern,UG2
Lusha,UG20340114,Bulambuli,UG203401,Bulambuli,UG2034,Eastern,UG2
Luuka Town Council,UG20510106,Luuka,UG205101,Luuka,UG2051,Eastern,UG2
Luwero,UG10140204,Katikamu,UG101402,Luwero,UG1014,Central,UG1
Luwero Town Council,UG10140205,Katikamu,UG101402,Luwero,UG1014,Central,UG1
Lwabenge,UG10070107,Kalungu,UG100701,Kalungu,UG1007,Central,UG1
Lwabiyata,UG10230105,Buruli,UG102301,Nakasongola,UG1023,Central,UG1
Lwajje,UG10040107,Buvuma Island,UG100401,Buvuma,UG1004,Central,UG1
Lwakhakha Town Council,UG20560110,Bubulo,UG205601,Namisindwa,UG2056,Eastern,UG2
Lwamaggwa,UG10240109,Kooki,UG102401,Rakai,UG1024,Central,UG1
Lwamata,UG10110107,Kiboga,UG101101,Kiboga,UG1011,Central,UG1
Lwamata,UG20480113,Kibuku,UG204801,Kibuku,UG2048,Eastern,UG2
Lwamata Town Council,UG10110108,Kiboga,UG101101,Kiboga,UG1011,Central,UG1
Lwampanga,UG10230106,Buruli,UG102301,Nakasongola,UG1023,Central,UG1
Lwanda,UG10240110,Kooki,UG102401,Rakai,UG1024,Central,UG1
Lwankoni,UG10130110,Kyotera,UG101301,Kyotera,UG1013,Central,UG1
Lwasso,UG20540116,Bungokho,UG205401,Mbale,UG2054,Eastern,UG2
Lwebitakuli,UG10250202,Mawogola,UG102502,Ssembabule,UG1025,Central,UG1
Lwemiyaga,UG10250101,Lwemiyaga,UG102501,Ssembabule,UG1025,Central,UG1
Lwengo,UG10150105,Bukoto,UG101501,Lwengo,UG1015,Central,UG1
Lwengo Town Council,UG10150106,Bukoto,UG101501,Lwengo,UG1015,Central,UG1
Lyabaana,UG10040108,Buvuma Island,UG100401,Buvuma,UG1004,Central,UG1
Lyakajura,UG10160104,Kabula,UG101601,Lyantonde,UG1016,Central,UG1
Lyama,UG20280105,Budaka,UG202801,Budaka,UG2028,Eastern,UG2
Lyantonde,UG10160105,Kabula,UG101601,Lyantonde,UG1016,Central,UG1
Lyantonde Town Council,UG10160106,Kabula,UG101601,Lyantonde,UG1016,Central,UG1
Maanyi,UG10180104,Busujju,UG101801,Mityana,UG1018,Central,UG1
Mabaale,UG41110111,Buyaga,UG411101,Kagadi,UG4111,Western,UG4
Mabaale Town Council,UG41110112,Buyaga,UG411101,Kagadi,UG4111,Western,UG4
Mabende,UG41100112,Burahya,UG411001,Kabarole,UG4110,Western,UG4
Mabere,UG41030107,Bughendera,UG410301,Bundibugyo,UG4103,Western,UG4
Maddu,UG10050104,Gomba,UG100501,Gomba,UG1005,Central,UG1
Madi  Opei,UG30820104,Lamwo,UG308201,Lamwo,UG3082,Northern,UG3
Madudu,UG10200104,Buwekula,UG102001,Mubende,UG1020,Central,UG1
Mafubira,UG20400104,Butembe,UG204001,Jinja,UG2040,Eastern,UG2
Magada,UG20570104,Busiki,UG205701,Namutumba,UG2057,Eastern,UG2
Magale,UG20560111,Bubulo,UG205601,Namisindwa,UG2056,Eastern,UG2
Magale Town Council,UG20560112,Bubulo,UG205601,Namisindwa,UG2056,Eastern,UG2
Magamaga,UG30640106,Labwor,UG306401,Abim,UG3064,Northern,UG3
Magamaga Town Council,UG20530110,Bunya,UG205301,Mayuge,UG2053,Eastern,UG2
Magambo,UG41310108,Bunyaruguru,UG413101,Rubirizi,UG4131,Western,UG4
Magogo,UG20440203,Buzaaya,UG204402,Kamuli,UG2044,Eastern,UG2
Magola,UG20630304,West Budama (Kisolo),UG206303,Tororo,UG2063,Eastern,UG2
Magoro,UG20470202,Toroma,UG204702,Katakwi,UG2047,Eastern,UG2
Mahango,UG41150111,Bukonjo,UG411501,Kasese,UG4115,Western,UG4
Mahyoro,UG41220104,Kitagwenda,UG412201,Kitagwenda,UG4122,Western,UG4
Majanji,UG20350210,Samia-Bugwe,UG203502,Busia,UG2035,Eastern,UG2
Makindye Division,UG10080103,KCCA,UG100801,Kampala,UG1008,Central,UG1
Makokoto,UG10090107,Kassanda,UG100901,Kassanda,UG1009,Central,UG1
Makulubita,UG10140206,Katikamu,UG101402,Luwero,UG1014,Central,UG1
Makuutu,UG20310106,Bugweri,UG203101,Bugweri,UG2031,Eastern,UG2
Malaba Town Council,UG20630102,Tororo,UG206301,Tororo,UG2063,Eastern,UG2
Malangala,UG10180105,Busujju,UG101801,Mityana,UG1018,Central,UG1
Malera,UG20320106,Bukedea,UG203201,Bukedea,UG2032,Eastern,UG2
Maliba,UG41150211,Busongora,UG411502,Kasese,UG4115,Western,UG4
Malongo,UG10150107,Bukoto,UG101501,Lwengo,UG1015,Central,UG1
Malongo,UG20530111,Bunya,UG205301,Mayuge,UG2053,Eastern,UG2
Manafwa Town Council,UG20520113,Bubulo,UG205201,Manafwa,UG2052,Eastern,UG2
Manibe,UG30720304,Terego,UG307203,Arua,UG3072,Northern,UG3
Manyogaseka,UG10090108,Kassanda,UG100901,Kassanda,UG1009,Central,UG1
Maracha Town Council,UG30850102,Maracha,UG308501,Maracha,UG3085,Northern,UG3
Masaba,UG20350211,Samia-Bugwe,UG203502,Busia,UG2035,Eastern,UG2
Masaba,UG20610118,Budadiri,UG206101,Sironko,UG2061,Eastern,UG2
Masafu,UG20350212,Samia-Bugwe,UG203502,Busia,UG2035,Eastern,UG2
Masajja Division,UG10260502,Makindye Ssabagabo Municipality,UG102605,Wakiso,UG1026,Central,UG1
Masese Walukuba,UG20400202,Jinja Municipality,UG204002,Jinja,UG2040,Eastern,UG2
Masha,UG41080208,Isingiro,UG410802,Isingiro,UG4108,Western,UG4
Masheruka,UG41350108,Sheema,UG413501,Sheema,UG4135,Western,UG4
Masheruka Twon Council,UG41350109,Sheema,UG413501,Sheema,UG4135,Western,UG4
Masiira,UG20340115,Bulambuli,UG203401,Bulambuli,UG2034,Eastern,UG2
Masindi Port,UG41200106,Kibanda,UG412001,Kiryandongo,UG4120,Western,UG4
Masinya,UG20350213,Samia-Bugwe,UG203502,Busia,UG2035,Eastern,UG2
Masuliita,UG10260108,Busiro,UG102601,Wakiso,UG1026,Central,UG1
Masulita Town Council,UG10260109,Busiro,UG102601,Wakiso,UG1026,Central,UG1
Matale,UG41170108,Buyanja,UG411701,Kibaale,UG4117,Western,UG4
Matany,UG30900106,Bokora,UG309001,Napak,UG3090,Northern,UG3
Mateete,UG10250203,Mawogola,UG102502,Ssembabule,UG1025,Central,UG1
Mateete Town Council,UG10250204,Mawogola,UG102502,Ssembabule,UG1025,Central,UG1
Mayanga,UG41270108,Ruhinda,UG412701,Mitooma,UG4127,Western,UG4
Mayuge Town Council,UG20530112,Bunya,UG205301,Mayuge,UG2053,Eastern,UG2
Maziba,UG41090208,Ndorwa,UG410902,Kabale,UG4109,Western,UG4
Mazimasa,UG20360110,Bunyole,UG203601,Butaleja,UG2036,Eastern,UG2
Mazinga,UG10060204,Kyamuswa,UG100602,Kalangala,UG1006,Central,UG1
Mazuba,UG20570105,Busiki,UG205701,Namutumba,UG2057,Eastern,UG2
Mbaare,UG41080105,Bukanga,UG410801,Isingiro,UG4108,Western,UG4
Mbulamuti,UG20440204,Buzaaya,UG204402,Kamuli,UG2044,Eastern,UG2
Mella,UG20630103,Tororo,UG206301,Tororo,UG2063,Eastern,UG2
Mende,UG10260110,Busiro,UG102601,Wakiso,UG1026,Central,UG1
Merikit,UG20630104,Tororo,UG206301,Tororo,UG2063,Eastern,UG2
Metu,UG30870104,Moyo,UG308701,Moyo,UG3087,Northern,UG3
Midia,UG30780106,Koboko,UG307801,Koboko,UG3078,Northern,UG3
Midigo,UG30990110,Aringa,UG309901,Yumbe,UG3099,Northern,UG3
Migeera Town Council,UG10230107,Buruli,UG102301,Nakasongola,UG1023,Central,UG1
Miirya,UG41250202,Buruuli,UG412502,Masindi,UG4125,Western,UG4
Mijwala,UG10250205,Mawogola,UG102502,Ssembabule,UG1025,Central,UG1
Minakulu,UG30960108,Oyam,UG309601,Oyam,UG3096,Northern,UG3
Mirambi,UG41030210,Bwamba,UG410302,Bundibugyo,UG4103,Western,UG4
Mitooma,UG41270109,Ruhinda,UG412701,Mitooma,UG4127,Western,UG4
Mitooma Town Council,UG41270110,Ruhinda,UG412701,Mitooma,UG4127,Western,UG4
Molo,UG20630105,Tororo,UG206301,Tororo,UG2063,Eastern,UG2
Moruita,UG30890103,Chekwi,UG308901,Nakapiripirit,UG3089,Northern,UG3
Morulem,UG30640107,Labwor,UG306401,Abim,UG3064,Northern,UG3
Morungatuny,UG20270107,Amuria,UG202701,Amuria,UG2027,Eastern,UG2
Moyo,UG30870105,Moyo,UG308701,Moyo,UG3087,Northern,UG3
Moyo Town Council,UG30870106,Moyo,UG308701,Moyo,UG3087,Northern,UG3
Moyok,UG20500112,Kween,UG205001,Kween,UG2050,Eastern,UG2
Mpara,UG41230107,Kyaka,UG412301,Kyegegwa,UG4123,Western,UG4
Mparo Divison,UG41060204,Hoima Municipality,UG410602,Hoima,UG4106,Western,UG4
Mparo Twon Council,UG41320104,Rukiga,UG413201,Rukiga,UG4132,Western,UG4
Mpasaana,UG41120112,Bugangaizi,UG411201,Kakumiro,UG4112,Western,UG4
Mpatta,UG10210203,Mukono,UG102102,Mukono,UG1021,Central,UG1
Mpeefu,UG41110113,Buyaga,UG411101,Kagadi,UG4111,Western,UG4
Mpenja,UG10050105,Gomba,UG100501,Gomba,UG1005,Central,UG1
Mpigi Town Council,UG10190105,Mawokota,UG101901,Mpigi,UG1019,Central,UG1
Mpondwe-Lhubiriha,UG41150112,Bukonjo,UG411501,Kasese,UG4115,Western,UG4
Mpumudde,UG10160107,Kabula,UG101601,Lyantonde,UG1016,Central,UG1
Mpumudde Division,UG20400203,Jinja Municipality,UG204002,Jinja,UG2040,Eastern,UG2
Mpunge,UG10210204,Mukono,UG102102,Mukono,UG1021,Central,UG1
Mpungu,UG41140112,Kinkizi,UG411401,Kanungu,UG4114,Western,UG4
Mpungwe,UG20530113,Bunya,UG205301,Mayuge,UG2053,Eastern,UG2
Mucwini,UG30770106,Chua,UG307701,Kitgum,UG3077,Northern,UG3
Muduuma,UG10190106,Mawokota,UG101901,Mpigi,UG1019,Central,UG1
Mugarama,UG41170109,Buyanja,UG411701,Kibaale,UG4117,Western,UG4
Mugiti,UG20280206,Iki-Iki,UG202802,Budaka,UG2028,Eastern,UG2
Mugoye,UG10060103,Bujumba,UG100601,Kalangala,UG1006,Central,UG1
Mugusu,UG41100113,Burahya,UG411001,Kabarole,UG4110,Western,UG4
Mugusu Town Council,UG41100114,Burahya,UG411001,Kabarole,UG4110,Western,UG4
Muhanga Town Council,UG41320105,Rukiga,UG413201,Rukiga,UG4132,Western,UG4
Muhokya,UG41150212,Busongora,UG411502,Kasese,UG4115,Western,UG4
Muhorro,UG41110114,Buyaga,UG411101,Kagadi,UG4111,Western,UG4
Muhorro  Town Council,UG41110115,Buyaga,UG411101,Kagadi,UG4111,Western,UG4
Muko,UG41300106,Rubanda,UG413001,Rubanda,UG4130,Western,UG4
Mukongoro,UG20490104,Kumi,UG204901,Kumi,UG2049,Eastern,UG2
Mukoto,UG20560113,Bubulo,UG205601,Namisindwa,UG2056,Eastern,UG2
Mukuju,UG20630106,Tororo,UG206301,Tororo,UG2063,Eastern,UG2
Mukungwe,UG10170106,Bukoto,UG101701,Masaka,UG1017,Central,UG1
Mukura,UG20580103,Ngora,UG205801,Ngora,UG2058,Eastern,UG2
Mulagi,UG10120118,Kiboga,UG101201,Kyankwanzi,UG1012,Central,UG1
Mulanda,UG20630305,West Budama (Kisolo),UG206303,Tororo,UG2063,Eastern,UG2
Munarya,UG20450210,Tingey,UG204502,Kapchorwa,UG2045,Eastern,UG2
Munkunyu,UG41150113,Bukonjo,UG411501,Kasese,UG4115,Western,UG4
Muntu,UG30680109,Kioga,UG306801,Amolatar,UG3068,Northern,UG3
Muramba,UG41210106,Bufumbira,UG412101,Kisoro,UG4121,Western,UG4
Murora,UG41210107,Bufumbira,UG412101,Kisoro,UG4121,Western,UG4
Mutara,UG41270111,Ruhinda,UG412701,Mitooma,UG4127,Western,UG4
Muterere,UG20300208,Bukooli,UG203002,Bugiri,UG2030,Eastern,UG2
Mutumba,UG20550107,Bukooli,UG205501,Namayingo,UG2055,Eastern,UG2
Mutunda,UG41200107,Kibanda,UG412001,Kiryandongo,UG4120,Western,UG4
Muwanga,UG10110109,Kiboga,UG101101,Kiboga,UG1011,Central,UG1
Muyembe,UG20340116,Bulambuli,UG203401,Bulambuli,UG2034,Eastern,UG2
Mwizi,UG41340103,Rwampara,UG413401,Rwampara,UG4134,Western,UG4
Myanzi,UG10090109,Kassanda,UG100901,Kassanda,UG1009,Central,UG1
Myene,UG30960109,Oyam,UG309601,Oyam,UG3096,Northern,UG3
Nabbaale,UG10210403,Nakifuma,UG102104,Mukono,UG1021,Central,UG1
Nabbongo,UG20340117,Bulambuli,UG203401,Bulambuli,UG2034,Eastern,UG2
Nabigasa,UG10130111,Kyotera,UG101301,Kyotera,UG1013,Central,UG1
Nabilatuk,UG30880103,Pian,UG308801,Nabilatuk,UG3088,Northern,UG3
Nabilatuk Town Council,UG30880104,Pian,UG308801,Nabilatuk,UG3088,Northern,UG3
Nabingoola,UG10200206,Kasambya,UG102002,Mubende,UG1020,Central,UG1
Nabiswa,UG20480114,Kibuku,UG204801,Kibuku,UG2048,Eastern,UG2
Nabisweera,UG10230108,Buruli,UG102301,Nakasongola,UG1023,Central,UG1
Nabitende,UG20390202,Kigulu,UG203902,Iganga,UG2039,Eastern,UG2
Naboa,UG20280106,Budaka,UG202801,Budaka,UG2028,Eastern,UG2
Nabukalu,UG20300209,Bukooli,UG203002,Bugiri,UG2030,Eastern,UG2
Nabumali Town Council,UG20540117,Bungokho,UG205401,Mbale,UG2054,Eastern,UG2
Nabuyoga,UG20630306,West Budama (Kisolo),UG206303,Tororo,UG2063,Eastern,UG2
Nabweru Division,UG10260603,Nansana Municipality,UG102606,Wakiso,UG1026,Central,UG1
Nabweya,UG20290114,Manjiya,UG202901,Bududa,UG2029,Eastern,UG2
Nabweyo,UG20570106,Busiki,UG205701,Namutumba,UG2057,Eastern,UG2
Nabwigulu,UG20440106,Bugabula,UG204401,Kamuli,UG2044,Eastern,UG2
Nadunget,UG30860102,Matheniko,UG308601,Moroto,UG3086,Northern,UG3
Nagojje,UG10210404,Nakifuma,UG102104,Mukono,UG1021,Central,UG1
Nagongera,UG20630307,West Budama (Kisolo),UG206303,Tororo,UG2063,Eastern,UG2
Nagongera Town Council,UG20630308,West Budama (Kisolo),UG206303,Tororo,UG2063,Eastern,UG2
Nairambi,UG10040109,Buvuma Island,UG100401,Buvuma,UG1004,Central,UG1
Najja,UG10010103,Buikwe,UG100101,Buikwe,UG1001,Central,UG1
Najjembe Division,UG10010302,Lugazi Municipality,UG100103,Buikwe,UG1001,Central,UG1
Nakalama,UG20390203,Kigulu,UG203902,Iganga,UG2039,Eastern,UG2
Nakaloke,UG20540118,Bungokho,UG205401,Mbale,UG2054,Eastern,UG2
Nakaloke Town Council,UG20540119,Bungokho,UG205401,Mbale,UG2054,Eastern,UG2
Nakapelimoru,UG30800103,Jie,UG308001,Kotido,UG3080,Northern,UG3
Nakapiripirit Town Council,UG30890104,Chekwi,UG308901,Nakapiripirit,UG3089,Northern,UG3
Nakaseke,UG10220109,Nakaseke,UG102201,Nakaseke,UG1022,Central,UG1
Nakaseke Town Council,UG10220110,Nakaseke,UG102201,Nakaseke,UG1022,Central,UG1
Nakasongola Town Council,UG10230109,Buruli,UG102301,Nakasongola,UG1023,Central,UG1
Nakatsi,UG20290115,Manjiya,UG202901,Bududa,UG2029,Eastern,UG2
Nakawa Division,UG10080104,KCCA,UG100801,Kampala,UG1008,Central,UG1
Nakigo,UG20390204,Kigulu,UG203902,Iganga,UG2039,Eastern,UG2
Nakisunga,UG10210205,Mukono,UG102102,Mukono,UG1021,Central,UG1
Nakitoma,UG10230110,Buruli,UG102301,Nakasongola,UG1023,Central,UG1
Nalondo,UG20520114,Bubulo,UG205201,Manafwa,UG2052,Eastern,UG2
Nalusala,UG20610119,Budadiri,UG206101,Sironko,UG2061,Eastern,UG2
Nalutuntu,UG10090110,Kassanda,UG100901,Kassanda,UG1009,Central,UG1
Nalwanza,UG20290116,Manjiya,UG202901,Bududa,UG2029,Eastern,UG2
Nalweyo,UG41120113,Bugangaizi,UG411201,Kakumiro,UG4112,Western,UG4
Nama,UG10210206,Mukono,UG102102,Mukono,UG1021,Central,UG1
Namabya,UG20560114,Bubulo,UG205601,Namisindwa,UG2056,Eastern,UG2
Namalemba,UG20310107,Bugweri,UG203101,Bugweri,UG2031,Eastern,UG2
Namalu,UG30890105,Chekwi,UG308901,Nakapiripirit,UG3089,Northern,UG3
Namambasa,UG20540120,Bungokho,UG205401,Mbale,UG2054,Eastern,UG2
Namanyonyi,UG20540121,Bungokho,UG205401,Mbale,UG2054,Eastern,UG2
Namasagali,UG20440107,Bugabula,UG204401,Kamuli,UG2044,Eastern,UG2
Namasale,UG30680110,Kioga,UG306801,Amolatar,UG3068,Northern,UG3
Namasale Town Council,UG30680111,Kioga,UG306801,Amolatar,UG3068,Northern,UG3
Namayingo Town Council,UG20550108,Bukooli,UG205501,Namayingo,UG2055,Eastern,UG2
Namayumba,UG10260111,Busiro,UG102601,Wakiso,UG1026,Central,UG1
Namayumba Town Council,UG10260112,Busiro,UG102601,Wakiso,UG1026,Central,UG1
Nambale,UG20390205,Kigulu,UG203902,Iganga,UG2039,Eastern,UG2
Nambieso,UG30810106,Kwania,UG308101,Kwania,UG3081,Northern,UG3
Namboko,UG20560115,Bubulo,UG205601,Namisindwa,UG2056,Eastern,UG2
Namisindwa Town Council,UG20560116,Bubulo,UG205601,Namisindwa,UG2056,Eastern,UG2
Namisuni,UG20340118,Bulambuli,UG203401,Bulambuli,UG2034,Eastern,UG2
Namokora,UG30770107,Chua,UG307701,Kitgum,UG3077,Northern,UG3
Namugongo,UG20430109,Bulamogi,UG204301,Kaliro,UG2043,Eastern,UG2
Namugongo Division,UG10260303,Kira Municipality,UG102603,Wakiso,UG1026,Central,UG1
Namungalwe,UG20390206,Kigulu,UG203902,Iganga,UG2039,Eastern,UG2
Namungo,UG10180305,Mityana,UG101803,Mityana,UG1018,Central,UG1
Namutumba,UG20570107,Busiki,UG205701,Namutumba,UG2057,Eastern,UG2
Namutumba Town Council,UG20570108,Busiki,UG205701,Namutumba,UG2057,Eastern,UG2
Namwendwa,UG20440108,Bugabula,UG204401,Kamuli,UG2044,Eastern,UG2
Namwiwa,UG20430110,Bulamogi,UG204301,Kaliro,UG2043,Eastern,UG2
Nandere,UG20480115,Kibuku,UG204801,Kibuku,UG2048,Eastern,UG2
Nangako Town Council,UG20290117,Manjiya,UG202901,Bududa,UG2029,Eastern,UG2
Nangoma,UG10130112,Kyotera,UG101301,Kyotera,UG1013,Central,UG1
Nangonde,UG20570109,Busiki,UG205701,Namutumba,UG2057,Eastern,UG2
Nankoma,UG20300210,Bukooli,UG203002,Bugiri,UG2030,Eastern,UG2
Nankondo,UG20480116,Kibuku,UG204801,Kibuku,UG2048,Eastern,UG2
Nansana Division,UG10260604,Nansana Municipality,UG102606,Wakiso,UG1026,Central,UG1
Nansanga,UG20280107,Budaka,UG202801,Budaka,UG2028,Eastern,UG2
Nansololo,UG20430111,Bulamogi,UG204301,Kaliro,UG2043,Eastern,UG2
Napak Town Council,UG30900107,Bokora,UG309001,Napak,UG3090,Northern,UG3
Napore Karenga,UG30760119,Dodoth,UG307601,Karenga,UG3076,Northern,UG3
Nawaikoke,UG20430112,Bulamogi,UG204301,Kaliro,UG2043,Eastern,UG2
Nawampiti,UG20510107,Luuka,UG205101,Luuka,UG2051,Eastern,UG2
Nawandala,UG20390207,Kigulu,UG203902,Iganga,UG2039,Eastern,UG2
