Opportunity Name,Project Code,Level 1 Government,Level 2 Government,Level 3 Government,B2P Fiscal Year,Stage,Sub-Stage,Close Date,Bridge Type,Span (m),GPS (Latitude),GPS (Longitude),Population Estimate 2000m,Population Estimate 5000m,Individuals Directly Served
Uganda - Mugoma-kasindukwa - 1022725,1022725,Western Region,Kabarole,Karambi,2020,Identified,Identified in Needs Assessment,,,,0.681577,30.251207,7943.39,73059.62,1450
Uganda - Kitonya - 1022729,1022729,Western Region,Kabarole,Karangura,2020,Identified,Identified in Needs Assessment,,,,0.612115,30.149292,4384.83,27763.85,4883
Uganda - Nyataboma central-Kicalaca - 1022732,1022732,Western Region,Kabarole,Harugongo,2020,Identified,Identified in Needs Assessment,,,,0.736377,30.297,3833.75,19872.06,2360
Uganda - Kicalaca-Kanyatete - 1022733,1022733,Western Region,Kabarole,Harugongo,2020,Identified,Identified in Needs Assessment,,Culvert (10m or less),,0.725351,30.293658,3712.89,23256.04,1820
Uganda - Kikonge-Bwanika - 1022734,1022734,Western Region,Kabarole,Harugongo,2020,Identified,Identified in Needs Assessment,,,,0.703121,30.262914,5740.5,43162.57,4660
Uganda - Kakonkome - 1022735,1022735,Western Region,Kabarole,Harugongo,2020,Identified,Identified in Needs Assessment,,,,0.681862,30.286775,11738.45,70086.75,7360
Uganda - Mount Gessi - 1022738,1022738,Western Region,Kabarole,Karangura,2020,Identified,Identified in Needs Assessment,,,,0.660638,30.149988,3456.82,26383.22,2177
Uganda - Bulyambuzi B-Buharani - 1022739,1022739,Western Region,Kabarole,Harugongo,2020,Identified,Identified in Needs Assessment,,,,0.759376,30.307662,2784.96,15756.28,1850
Uganda - Bulega-mpinga - 1022740,1022740,Western Region,Kabarole,Harugongo,2020,Identified,Identified in Needs Assessment,,,,0.744009,30.317333,3682.27,17501.02,2300
Uganda - Bulyambuzi B-Nyakabira - 1022741,1022741,Western Region,Kabarole,Harugongo,2020,Identified,Identified in Needs Assessment,,,,0.764399,30.315507,2537.81,14411.2,1250
Uganda - Kyeihembe-kijenga - 1022742,1022742,Western Region,Kabarole,Harugongo,2020,Identified,Identified in Needs Assessment,,,,0.745246,30.339555,2815.61,16751.14,800
Uganda - Nyakitokoli A-Buhami - 1022743,1022743,Western Region,Kabarole,Karangura,2020,Identified,Identified in Needs Assessment,,,,0.6832,30.172702,4686.09,34761.6,3348
Uganda - Kabasanja-Mwokya - 1022744,1022744,Western Region,Kabarole,Harugongo,2020,Identified,Identified in Needs Assessment,,,,0.753969,30.347315,2253.42,15860.41,1600
Uganda - Kakundwa-Nyantaboma - 1022745,1022745,Western Region,Kabarole,Harugongo,2020,Identified,Identified in Needs Assessment,,,,0.731018,30.305661,3552.33,20397.21,2000
Uganda - Mount Gessi Alternate Location - 1022862,1022862,Western Region,Kabarole,,2020,Identified,Identified in Needs Assessment,,,,0.661233,30.150787,3487.01,26714.86,0
Uganda - Rugarama 1023074 audit - 1023311,1023311,Western Region,Ibanda,,2020,Identified,Identified in Needs Assessment,,,,,,,,0
Uganda - Rwenda 1023083 audit - 1023312,1023312,Western Region,Ibanda,,2020,Identified,Identified in Needs Assessment,,,,,,,,0
Uganda - Mogondo 1023085 - 1023313,1023313,Western Region,Ibanda,,2020,Identified,Identified in Needs Assessment,,,,,,,,0
Uganda - Rwatibale audit 1023087 - 1023315,1023315,Western Region,Ibanda,,2020,Identified,Identified in Needs Assessment,,,,,,,,0
Uganda - Sililwa - 1008735,1008735,Eastern Region,Namisindwa,Bukokho,2020,Identified,Identified in Needs Assessment,,,60,0.856349,34.4201456,11400,50650,1769
Uganda - Wekobosa - 1008742,1008742,Eastern Region,Namisindwa,Bukhaweka,2020,Identified,Identified in Needs Assessment,,Suspended Bridge,40,0.90965,34.319567,11842,78183,3301
Uganda - Bunekesa - 1008765,1008765,Eastern Region,Manafwa,Manafwa Town Council,2020,Identified,Identified in Needs Assessment,,,,0.959983,34.296867,12956,76354,3999
Uganda - Nyimei - 1011152,1011152,Eastern Region,Kween,Kiriki,2020,Identified,Identified in Needs Assessment,,,40,1.430213,34.718882,209,2316,1072
Uganda - Kapchemelei - 1011290,1011290,Eastern Region,Kween,Benet,2020,Identified,Identified in Needs Assessment,,,,1.359521,34.522313,6869,32778,498
Uganda - Magunga- Nyakagongo - 1022726,1022726,Western Region,Kabarole,Mugusu,2021,Identified,Identified in Needs Assessment,,,,0.590396,30.203002,8887.26,45242.57,11150
Uganda - Karwoma - 1022728,1022728,Western Region,Kabarole,Mugusu,2021,Identified,Identified in Needs Assessment,,Suspension Bridge,45,0.595394,30.178,6252.75,43319.21,4250
Uganda - Rugarama 1 - 1023074,1023074,Western Region,Ibanda,Rukiri,2021,Identified,Identified in Needs Assessment,,,,-0.287358,30.437223,3587.46,23111.97,4743
Uganda - Rujumbura-Kayanja - 1023075,1023075,Western Region,Ibanda,Nyabuhikye,2021,Identified,Identified in Needs Assessment,,,,-0.249153,30.498536,2531.86,18058.73,2431
Uganda - Kitontoma-Nsasi - 1023076,1023076,Western Region,Ibanda,Bisheshe division,2021,Identified,Identified in Needs Assessment,,,,-0.090735,30.525903,3076.51,23150.56,1686
Uganda - Rwemigina - 1023077,1023077,Western Region,Ibanda,Bufunda division,2021,Identified,Identified in Needs Assessment,,,,-0.109694,30.569906,3268.29,24050.23,2196
Uganda - Kashangura - 1023078,1023078,Western Region,Ibanda,Bisheshe division,2021,Identified,Identified in Needs Assessment,,,,-0.062238,30.43596,3685.09,23326.47,2105
Uganda - Rwobuhungye -Mirambi - 1023079,1023079,Western Region,Ibanda,Rumuri subcounty,2021,Identified,Identified in Needs Assessment,,,,-0.21521,30.454859,3094.18,19007.3,5722
Uganda - Bururuma - 1023080,1023080,Western Region,Ibanda,Nyamarebe,2021,Identified,Identified in Needs Assessment,,,,0.033434,30.599913,2714.75,17382.5,7882
Uganda - Karangara-Rwemerire - 1023082,1023082,Western Region,Ibanda,Bisheshe,2021,Identified,Identified in Needs Assessment,,,,-0.059566,30.525787,1927.3,19798.9,4223
Uganda - Rwenda bridge - 1023083,1023083,Western Region,Ibanda,Rukiri,2021,Identified,Identified in Needs Assessment,,,,-0.210705,30.426929,3552.01,23167.6,4074
Uganda - Kakuuto bridge - 1023084,1023084,Western Region,Ibanda,Bufunda division,2021,Identified,Identified in Needs Assessment,,,,-0.043582,30.568198,1867.64,15063.99,6197
Uganda - Mogondo-Kakuuto 3 - 1023085,1023085,Western Region,Ibanda,Ishongororo,2021,Identified,Identified in Needs Assessment,,,,-0.031115,30.570408,2288.8,15546.08,3498
Uganda - Kitooro 1-rugando - 1023086,1023086,Western Region,Ibanda,Ishongororo,2021,Identified,Identified in Needs Assessment,,,,0.045227,30.538538,3142.51,24758.23,2680
