Bridge Site,Bridge Survey: Created Date,Bridge Survey: Bridge Survey Name,Origin,Origin - Other,Origin - Admin Code,Destination,Destination - Other,Destination - Admin Code,Home Village,Home Village - Other,Home Village - Admin Code,Crossing Method,Purpose of Travel,Purpose of Travel - Other,Purpose of Travel - Categorized,Travel time,Gender,Approximate Age,Number of seniors traveling,Number of adults,Number of young adults traveling,Number of school aged children,Number of young children,Mode of Transportation,Cargo,Cargo - Other,Notes,Person previously surveyed today,River Conditions,River Photo URL,Weather Conditions,Bridge Survey: ID,home_centroid,destination_centroid,Bridge Name,bridge_coordinates,home_to_bridge_distance,bridge_to_destination_distance,total_distance
Gasasa,02/08/2022,Bridge Survey - 00006237,,,,Gashubi market,,350103,,Gasiza,35130601,B2P bridge,Buying goods,,Livelihood,90.0,Male,Young adult,,,,,,Foot,,,,,River bed is dry; River is moving slowly,,Cloudy; Temperature is moderate,a3b3Z000001ZomL,POINT (450237.5222934269 4785916.704965794),POINT (449366.0932350456 4782741.737907862),Gasasa,POINT (449047.43849299813 4783981.539580765),2271.819649412894,1280.097274726476,3551.9169241393697
Gasasa,02/08/2022,Bridge Survey - 00006226,,,,Gisozi,,35030104,Other,Rutembo,35010104,B2P bridge,Visiting friends or family,,Visiting family or friends,120.0,Female,Adult,,,,,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving moderately,,Sunny; Cloudy; Temperature is moderate,a3b3Z000001ZolX,POINT (451632.64344073256 4785272.959981511),POINT (456922.8974851381 4798968.048917125),Gasasa,POINT (449047.43849299813 4783981.539580765),2889.818553690516,16929.805563729242,19819.624117419757
Gasasa,02/08/2022,Bridge Survey - 00006255,,,,Gitonde,,35010302,Other,mubano,35130302,B2P bridge,Farming,,Livelihood,120.0,Male,Adult,,,,,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving slowly,,Sunny; Cloudy; Temperature is moderate,a3b3Z000001Zonn,POINT (446996.4872337311 4785116.098342598),POINT (450850.8030913685 4784222.184804626),Gasasa,POINT (449047.43849299813 4783981.539580765),2343.848257021274,1819.3498834535733,4163.198140474848
Gasasa,02/08/2022,Bridge Survey - 00006235,,,,Ngugu,,35100206,Gasasa,,35010301,B2P bridge,Farming,,Livelihood,50.0,Male,School-aged child,,,,,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving slowly,,Cloudy; Temperature is moderate,a3b3Z000001ZomB,POINT (449839.9295290053 4783994.352262474),POINT (455526.4333057876 4777371.114142789),Gasasa,POINT (449047.43849299813 4783981.539580765),792.5946044254262,9256.084391101958,10048.678995527385
Gasasa,02/08/2022,Bridge Survey - 00006231,,,,Other,Nturo,35050105,Gasasa,,35010301,B2P bridge,Selling goods; Buying goods,,Livelihood,40.0,Female,Adult,,,,1.0,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving moderately,,Cloudy; Temperature is cool,a3b3Z000001Zolr,POINT (449839.9295290053 4783994.352262474),POINT (452219.216165194 4792540.030381046),Gasasa,POINT (449047.43849299813 4783981.539580765),792.5946044254262,9127.318246907778,9919.912851333205
Gasasa,02/08/2022,Bridge Survey - 00006230,,,,Other,Nturo,35050105,Gasasa,,35010301,B2P bridge,Buying goods,,Livelihood,30.0,Male,Adult,,,,,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving moderately,https://bridges.my.salesforce.com/sfc/servlet.shepherd/version/renditionDownload?rendition=ORIGINAL_Jpg&versionId=0683Z00000Gy3DmQAJ,Cloudy; Temperature is cool,a3b3Z000001Zolm,POINT (449839.9295290053 4783994.352262474),POINT (452219.216165194 4792540.030381046),Gasasa,POINT (449047.43849299813 4783981.539580765),792.5946044254262,9127.318246907778,9919.912851333205
Gasasa,02/08/2022,Bridge Survey - 00006229,,,,Other,Nturo,35050105,Gasasa,,35010301,B2P bridge,Selling goods; Buying goods,,Livelihood,40.0,Female,Senior,,,,,,Foot,Produce,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving moderately,https://bridges.my.salesforce.com/sfc/servlet.shepherd/version/renditionDownload?rendition=ORIGINAL_Jpg&versionId=0683Z00000Gy3DcQAJ,Cloudy; Temperature is cool,a3b3Z000001Zolh,POINT (449839.9295290053 4783994.352262474),POINT (452219.216165194 4792540.030381046),Gasasa,POINT (449047.43849299813 4783981.539580765),792.5946044254262,9127.318246907778,9919.912851333205
Gasasa,02/08/2022,Bridge Survey - 00006223,,,,Other,Nturo,35050105,Gasasa,,35010301,B2P bridge,Buying goods,,Livelihood,30.0,Male,Senior,1.0,,,,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving moderately,,Sunny; Cloudy; Temperature is moderate,a3b3Z000001ZolI,POINT (449839.9295290053 4783994.352262474),POINT (452219.216165194 4792540.030381046),Gasasa,POINT (449047.43849299813 4783981.539580765),792.5946044254262,9127.318246907778,9919.912851333205
Gasasa,02/08/2022,Bridge Survey - 00006219,,,,Other,Nturo,35050105,Gasasa,,35010301,B2P bridge,School,,Education,40.0,Male,School-aged child,,,,5.0,,Foot,,,,,River is very shallow (water is knee-deep or less); River is moving moderately,,Sunny; Cloudy; Temperature is moderate,a3b3Z000001Zoky,POINT (449839.9295290053 4783994.352262474),POINT (452219.216165194 4792540.030381046),Gasasa,POINT (449047.43849299813 4783981.539580765),792.5946044254262,9127.318246907778,9919.912851333205
Gasasa,02/08/2022,Bridge Survey - 00006221,,,,Other,Nturo,35050105,Gasasa,,35010301,B2P bridge,Buying goods,,Livelihood,30.0,Male,Adult,1.0,,,1.0,,Foot,,,,,River bed is dry; River is very shallow (water is knee-deep or less); River is moving moderately,,Cloudy; Temperature is moderate,a3b3Z000001Zol8,POINT (449839.9295290053 4783994.352262474),POINT (452219.216165194 4792540.030381046),Gasasa,POINT (449047.43849299813 4783981.539580765),792.5946044254262,9127.318246907778,9919.912851333205
